Session History: LG AC AKB754152302 Harish3845
1,16:46:18.3,FRIEDRICH28AC,off,88C0051,,28,24-10-2019,1;0;1000;0|2;1000;3148;1|3;4148;9520;0|4;13668;500;1|5;14168;1500;0|6;15668;512;1|7;16180;474;0|8;16654;512;1|9;17166;474;0|10;17640;512;1|11;18152;474;0|12;18626;500;1|13;19126;1500;0|14;20626;512;1|15;21138;474;0|16;21612;512;1|17;22124;474;0|18;22598;512;1|19;23110;474;0|20;23584;500;1|21;24084;1500;0|22;25584;500;1|23;26084;1500;0|24;27584;512;1|25;28096;474;0|26;28570;512;1|27;29082;474;0|28;29556;512;1|29;30068;474;0|30;30542;512;1|31;31054;474;0|32;31528;512;1|33;32040;474;0|34;32514;512;1|35;33026;474;0|36;33500;512;1|37;34012;474;0|38;34486;512;1|39;34998;474;0|40;35472;512;1|41;35984;474;0|42;36458;512;1|43;36970;474;0|44;37444;512;1|45;37956;474;0|46;38430;500;1|47;38930;1500;0|48;40430;512;1|49;40942;474;0|50;41416;500;1|51;41916;1500;0|52;43416;512;1|53;43928;474;0|54;44402;512;1|55;44914;474;0|56;45388;512;1|57;45900;474;0|58;46374;500;1|59;46874;1500;0|60;48374;500;1|, ,38000
1,16:46:10.4,FRIEDRICH28AC,light off,88C00A6,,28,24-10-2019,1;0;1000;0|2;1000;3320;1|3;4320;9528;0|4;13848;524;1|5;14372;1492;0|6;15864;490;1|7;16354;510;0|8;16864;490;1|9;17354;510;0|10;17864;490;1|11;18354;510;0|12;18864;466;1|13;19330;1528;0|14;20858;490;1|15;21348;510;0|16;21858;490;1|17;22348;510;0|18;22858;490;1|19;23348;510;0|20;23858;524;1|21;24382;1492;0|22;25874;524;1|23;26398;1492;0|24;27890;490;1|25;28380;510;0|26;28890;490;1|27;29380;510;0|28;29890;490;1|29;30380;510;0|30;30890;490;1|31;31380;510;0|32;31890;490;1|33;32380;510;0|34;32890;490;1|35;33380;510;0|36;33890;490;1|37;34380;510;0|38;34890;490;1|39;35380;510;0|40;35890;490;1|41;36380;510;0|42;36890;490;1|43;37380;510;0|44;37890;524;1|45;38414;1492;0|46;39906;490;1|47;40396;510;0|48;40906;524;1|49;41430;1492;0|50;42922;490;1|51;43412;510;0|52;43922;490;1|53;44412;510;0|54;44922;466;1|55;45388;1528;0|56;46916;524;1|57;47440;1492;0|58;48932;490;1|59;49422;510;0|60;49932;524;1|, ,38000
1,16:46:04.1,FRIEDRICH28AC,light off,88C00A6,,28,24-10-2019,1;0;1000;0|2;1000;3328;1|3;4328;9512;0|4;13840;514;1|5;14354;1500;0|6;15854;494;1|7;16348;498;0|8;16846;494;1|9;17340;498;0|10;17838;494;1|11;18332;498;0|12;18830;514;1|13;19344;1500;0|14;20844;494;1|15;21338;498;0|16;21836;494;1|17;22330;498;0|18;22828;494;1|19;23322;498;0|20;23820;514;1|21;24334;1500;0|22;25834;514;1|23;26348;1500;0|24;27848;494;1|25;28342;498;0|26;28840;494;1|27;29334;498;0|28;29832;494;1|29;30326;498;0|30;30824;494;1|31;31318;498;0|32;31816;494;1|33;32310;498;0|34;32808;494;1|35;33302;498;0|36;33800;494;1|37;34294;498;0|38;34792;494;1|39;35286;498;0|40;35784;494;1|41;36278;498;0|42;36776;494;1|43;37270;498;0|44;37768;514;1|45;38282;1500;0|46;39782;494;1|47;40276;498;0|48;40774;514;1|49;41288;1500;0|50;42788;494;1|51;43282;498;0|52;43780;494;1|53;44274;498;0|54;44772;514;1|55;45286;1500;0|56;46786;514;1|57;47300;1500;0|58;48800;494;1|59;49294;498;0|60;49792;514;1|, ,38000
1,16:45:53.6,FRIEDRICH28AC,18,880834F,,28,24-10-2019,1;0;1000;0|2;1000;3328;1|3;4328;9520;0|4;13848;506;1|5;14354;1500;0|6;15854;518;1|7;16372;474;0|8;16846;518;1|9;17364;474;0|10;17838;518;1|11;18356;474;0|12;18830;506;1|13;19336;1500;0|14;20836;518;1|15;21354;474;0|16;21828;518;1|17;22346;474;0|18;22820;518;1|19;23338;474;0|20;23812;518;1|21;24330;474;0|22;24804;518;1|23;25322;474;0|24;25796;518;1|25;26314;474;0|26;26788;518;1|27;27306;474;0|28;27780;506;1|29;28286;1500;0|30;29786;518;1|31;30304;474;0|32;30778;518;1|33;31296;474;0|34;31770;518;1|35;32288;474;0|36;32762;518;1|37;33280;474;0|38;33754;518;1|39;34272;474;0|40;34746;506;1|41;35252;1500;0|42;36752;506;1|43;37258;1500;0|44;38758;518;1|45;39276;474;0|46;39750;506;1|47;40256;1500;0|48;41756;518;1|49;42274;474;0|50;42748;518;1|51;43266;474;0|52;43740;506;1|53;44246;1500;0|54;45746;506;1|55;46252;1500;0|56;47752;506;1|57;48258;1500;0|58;49758;506;1|59;50264;1500;0|60;51764;506;1|, ,38000
1,16:45:50.6,FRIEDRICH28AC,hypercool,88100DE,,28,24-10-2019,1;0;1000;0|2;1000;3148;1|3;4148;9528;0|4;13676;532;1|5;14208;1492;0|6;15700;526;1|7;16226;462;0|8;16688;526;1|9;17214;462;0|10;17676;526;1|11;18202;462;0|12;18664;532;1|13;19196;1492;0|14;20688;526;1|15;21214;462;0|16;21676;526;1|17;22202;462;0|18;22664;526;1|19;23190;462;0|20;23652;526;1|21;24178;462;0|22;24640;526;1|23;25166;462;0|24;25628;526;1|25;26154;462;0|26;26616;532;1|27;27148;1492;0|28;28640;526;1|29;29166;462;0|30;29628;526;1|31;30154;462;0|32;30616;526;1|33;31142;462;0|34;31604;526;1|35;32130;462;0|36;32592;526;1|37;33118;462;0|38;33580;526;1|39;34106;462;0|40;34568;526;1|41;35094;462;0|42;35556;526;1|43;36082;462;0|44;36544;532;1|45;37076;1492;0|46;38568;532;1|47;39100;1492;0|48;40592;526;1|49;41118;462;0|50;41580;532;1|51;42112;1492;0|52;43604;532;1|53;44136;1492;0|54;45628;532;1|55;46160;1492;0|56;47652;532;1|57;48184;1492;0|58;49676;526;1|59;50202;462;0|60;50664;532;1|, ,38000
1,16:45:42.2,FRIEDRICH28AC,energy control,88C07D0,,28,24-10-2019,1;0;1000;0|2;1000;3276;1|3;4276;9508;0|4;13784;522;1|5;14306;1498;0|6;15804;526;1|7;16330;476;0|8;16806;526;1|9;17332;476;0|10;17808;526;1|11;18334;476;0|12;18810;522;1|13;19332;1498;0|14;20830;526;1|15;21356;476;0|16;21832;526;1|17;22358;476;0|18;22834;526;1|19;23360;476;0|20;23836;522;1|21;24358;1498;0|22;25856;522;1|23;26378;1498;0|24;27876;526;1|25;28402;476;0|26;28878;526;1|27;29404;476;0|28;29880;526;1|29;30406;476;0|30;30882;526;1|31;31408;476;0|32;31884;526;1|33;32410;476;0|34;32886;526;1|35;33412;476;0|36;33888;526;1|37;34414;476;0|38;34890;522;1|39;35412;1498;0|40;36910;522;1|41;37432;1498;0|42;38930;522;1|43;39452;1498;0|44;40950;522;1|45;41472;1498;0|46;42970;522;1|47;43492;1498;0|48;44990;526;1|49;45516;476;0|50;45992;522;1|51;46514;1498;0|52;48012;526;1|53;48538;476;0|54;49014;526;1|55;49540;476;0|56;50016;526;1|57;50542;476;0|58;51018;526;1|59;51544;476;0|60;52020;522;1|, ,38000
1,16:45:31.2,FRIEDRICH28AC,hypercool,88100DE,,28,24-10-2019,1;0;1000;0|2;1000;3336;1|3;4336;9540;0|4;13876;522;1|5;14398;1500;0|6;15898;512;1|7;16410;482;0|8;16892;512;1|9;17404;482;0|10;17886;512;1|11;18398;482;0|12;18880;522;1|13;19402;1500;0|14;20902;512;1|15;21414;482;0|16;21896;512;1|17;22408;482;0|18;22890;512;1|19;23402;482;0|20;23884;512;1|21;24396;482;0|22;24878;512;1|23;25390;482;0|24;25872;512;1|25;26384;482;0|26;26866;522;1|27;27388;1500;0|28;28888;512;1|29;29400;482;0|30;29882;512;1|31;30394;482;0|32;30876;512;1|33;31388;482;0|34;31870;512;1|35;32382;482;0|36;32864;512;1|37;33376;482;0|38;33858;512;1|39;34370;482;0|40;34852;512;1|41;35364;482;0|42;35846;512;1|43;36358;482;0|44;36840;522;1|45;37362;1500;0|46;38862;522;1|47;39384;1500;0|48;40884;512;1|49;41396;482;0|50;41878;522;1|51;42400;1500;0|52;43900;522;1|53;44422;1500;0|54;45922;522;1|55;46444;1500;0|56;47944;522;1|57;48466;1500;0|58;49966;512;1|59;50478;482;0|60;50960;522;1|, ,38000
1,16:45:18.7,FRIEDRICH28AC,mode cool,8808F07,,28,24-10-2019,1;0;1000;0|2;1000;3076;1|3;4076;9556;0|4;13632;522;1|5;14154;1488;0|6;15642;502;1|7;16144;492;0|8;16636;502;1|9;17138;492;0|10;17630;502;1|11;18132;492;0|12;18624;522;1|13;19146;1488;0|14;20634;502;1|15;21136;492;0|16;21628;502;1|17;22130;492;0|18;22622;502;1|19;23124;492;0|20;23616;502;1|21;24118;492;0|22;24610;502;1|23;25112;492;0|24;25604;502;1|25;26106;492;0|26;26598;502;1|27;27100;492;0|28;27592;522;1|29;28114;1488;0|30;29602;502;1|31;30104;492;0|32;30596;502;1|33;31098;492;0|34;31590;502;1|35;32092;492;0|36;32584;522;1|37;33106;1488;0|38;34594;522;1|39;35116;1488;0|40;36604;522;1|41;37126;1488;0|42;38614;522;1|43;39136;1488;0|44;40624;502;1|45;41126;492;0|46;41618;502;1|47;42120;492;0|48;42612;502;1|49;43114;492;0|50;43606;502;1|51;44108;492;0|52;44600;502;1|53;45102;492;0|54;45594;522;1|55;46116;1488;0|56;47604;522;1|57;48126;1488;0|58;49614;522;1|59;50136;1488;0|60;51624;522;1|, ,38000
1,16:44:49.3,FRIEDRICH28AC,f on vA h0 fA,880235A,,28,24-10-2019,1;0;1000;0|2;1000;3032;1|3;4032;9532;0|4;13564;522;1|5;14086;1504;0|6;15590;514;1|7;16104;486;0|8;16590;514;1|9;17104;486;0|10;17590;514;1|11;18104;486;0|12;18590;522;1|13;19112;1504;0|14;20616;514;1|15;21130;486;0|16;21616;514;1|17;22130;486;0|18;22616;514;1|19;23130;486;0|20;23616;514;1|21;24130;486;0|22;24616;514;1|23;25130;486;0|24;25616;514;1|25;26130;486;0|26;26616;514;1|27;27130;486;0|28;27616;514;1|29;28130;486;0|30;28616;514;1|31;29130;486;0|32;29616;522;1|33;30138;1504;0|34;31642;514;1|35;32156;486;0|36;32642;514;1|37;33156;486;0|38;33642;514;1|39;34156;486;0|40;34642;522;1|41;35164;1504;0|42;36668;522;1|43;37190;1504;0|44;38694;514;1|45;39208;486;0|46;39694;522;1|47;40216;1504;0|48;41720;514;1|49;42234;486;0|50;42720;522;1|51;43242;1504;0|52;44746;522;1|53;45268;1504;0|54;46772;514;1|55;47286;486;0|56;47772;522;1|57;48294;1504;0|58;49798;514;1|59;50312;486;0|60;50798;522;1|, ,38000
1,16:44:47.0,FRIEDRICH28AC,off,88C0051,,28,24-10-2019,1;0;1000;0|2;1000;3096;1|3;4096;9520;0|4;13616;542;1|5;14158;1480;0|6;15638;518;1|7;16156;484;0|8;16640;518;1|9;17158;484;0|10;17642;518;1|11;18160;484;0|12;18644;542;1|13;19186;1480;0|14;20666;518;1|15;21184;484;0|16;21668;518;1|17;22186;484;0|18;22670;518;1|19;23188;484;0|20;23672;542;1|21;24214;1480;0|22;25694;542;1|23;26236;1480;0|24;27716;518;1|25;28234;484;0|26;28718;518;1|27;29236;484;0|28;29720;518;1|29;30238;484;0|30;30722;518;1|31;31240;484;0|32;31724;518;1|33;32242;484;0|34;32726;518;1|35;33244;484;0|36;33728;518;1|37;34246;484;0|38;34730;518;1|39;35248;484;0|40;35732;518;1|41;36250;484;0|42;36734;518;1|43;37252;484;0|44;37736;518;1|45;38254;484;0|46;38738;542;1|47;39280;1480;0|48;40760;518;1|49;41278;484;0|50;41762;542;1|51;42304;1480;0|52;43784;518;1|53;44302;484;0|54;44786;518;1|55;45304;484;0|56;45788;518;1|57;46306;484;0|58;46790;542;1|59;47332;1480;0|60;48812;542;1|, ,38000
